Sl. No,Player,Team,From,Runs,Balls,Strike Rate,Wickets,Balls Bowled,Runs Conceded,Economy,Ct_St,Run Outs,Matches Played,Age
253,Wilkin Mota ,KXI,IND,30,48,62.5,3,54,61,6.777777778,3,0.5,8,27
254,XB,RCB,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
255,XC,CSK,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
256,XD,DD,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
257,XH,DC,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
258,XM,MI,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
259,Y Takawale  ,MI,IND,18,22,81.81818182,0,0,0,#DIV/0!,3,1,4,24
260,Yaspal Singh,KKR,IND,47,66,71.21212121,0,0,0,#DIV/0!,3,0,8,27
261,YB,RCB,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
262,YC,CSK,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
263,YD,DD,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
264,YH,DC,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
265,YM,MI,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
266,Yo Mahesh ,DD,IND,0,0,#DIV/0!,1,12,25,12.5,0,0,1,21
267,Yogesh Nagar ,DD,IND,20,20,100,2,12,20,10,1,0,1,19
268,Yusuf Abdulla ,KXI,SA,0,0,#DIV/0!,14,168,241,8.607142857,0,0,9,26
269,Yusuf Pathan ,RR,IND,243,183,132.7868852,7,210,243,6.942857143,2,1.5,13,26
270,Yuvraj Singh,KXI,IND,340,295,115.2542373,6,120,142,7.1,5,1,14,27
271,Zaheer Khan ,MI,IND,8,11,72.72727273,6,126,142,6.761904762,2,0.5,6,30
272,ZB,RCB,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
273,ZC,CSK,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
274,ZD,DD,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
275,ZH,DC,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
276,ZJ,RR,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
277,ZM,MI,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
278,ZP,KXI,,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,
